ORIGIN,SCORE,STEPS,Depression,Worry,Wellbeing,Loneliness,Sleeplessness,Neuroticism,Alcohol,Education,BMI,Intelligence,Eveningness,Not socialising,Smoking,Exercise,Coffee intake,CHD,Diabetes
Sleeplessness,7.664287668522795,31,,,0.303440544,,-1,-0.06973837607469034,-0.377664201,0.4017438721251988,-0.7096090469824873,1.071404168297476,0.07416121377686294,-0.25491319413331837,-2.213579650478985,-0.21901319210464845,0.017128694080811656,-1.4627626457989256,-0.7280542087188485
Loneliness,7.45586652032205,33,,,0.20160453407523582,-1,-0.664395507,-1.4100820927295006,-0.2509183982991449,0.26691682360476465,-0.47146106254171655,0.711836115597915,0.04927237722701423,-0.1693631808571955,-1.470692374164868,-0.1455113808080563,0.011380227388068754,-0.9718529296762386,-0.4837159451252433
Education,6.704817426524546,20,,,,,,-0.173589147,,1,-0.34611712,1.7925970519414376,0.102033765,-0.16606242389540687,-2.833140243928799,-0.4442000912512979,0.1639747670651,-0.8285147654175515,-0.35511388559264767
Worry,6.353748685611401,37,,-1,0.5589032344577024,-0.187065925,-0.487125621082799,-1.056093648683686,-0.18396990847286404,0.19569973322519604,-0.3456687477373172,0.5219084209126078,0.03612582732130859,-0.12417474801439285,-1.0782913620558208,-0.10668693722930325,0.00834382574245264,-0.71254916233152,-0.35465385860411486
Alcohol,3.6658978915262765,25,,,,,,-0.03380176128166866,-1,0.19472278,-0.2828334708119936,0.898300294835289,0.1076970463746667,-0.12466915926035824,-0.9577295660464211,-0.1499181628216065,0.03225956796861432,-0.3164072146122793,-0.2901852783118667
BMI,3.6596260340531104,11,,,,,,,,,-1,0.293973612,,-0.03860355870639924,-1.884789556,-0.03394590877400207,-0.09990224645830133,-0.4502118021207128,-1.025993414
Depression,2.9223851474260716,42,-1,-0.092800285,0.20113703286665943,-0.06875044615378861,-0.16770702703898296,-0.33692721138547227,-0.06333694036876289,0.06737527042524642,-0.11900642362939892,0.17968200782234384,0.012437356684120146,-0.04275073394110994,-0.3712328622958216,-0.03673005133018824,0.0028726023613531446,-0.24531557459061468,-0.12209980686745726
Intelligence,1.0245925,5,,,,,,,,,,1,,-0.02052727,,-0.115472639,0.04497258257893796,-0.119537869,
Wellbeing,1,0,,,1,,,,,,,,,,,,,,
Neuroticism,1,0,,,,,,-1,,,,,,,,,,,
Not socialising,1,0,,,,,,,,,,,,-1,,,,,
Smoking,1,0,,,,,,,,,,,,,-1,,,,
Exercise,1,1,,,,,,,,,,,,,,1,-0.106484122,,
CHD,1,0,,,,,,,,,,,,,,,,-1,
Diabetes,1,0,,,,,,,,,,,,,,,,,-1
Eveningness,0,0,,,,,,,,,,,1,,,,,,
Coffee intake,0,0,,,,,,,,,,,,,,,1,,
