Loadings:,,,,,,,,,Loadings:,,,,,,,,
,PA2,PA1,PA3,PA5,PA4,PA7,PA6,,,PA1,PA2,PA3,,Loadings:,,,
Q1,0.192,-0.148,0.19,-0.176,-0.207,0.151,,,Q1,,,,,,PA1,PA2,PA3
Q2,0.662,,,,,,,,Q2,0.518,,,,Q1,,,
Q3,-0.141,-0.139,0.417,-0.119,,,,,Q3,,,,,Q2,0.52,,
Q4,0.748,,,,,,,,Q4,0.391,-0.304,,,Q3,,,
Q5,0.129,0.161,0.193,0.41,,,,,Q5,,,,,Q4,,0.39,-0.30
Q6,-0.119,0.105,0.281,-0.175,0.148,,,,Q6,,,,,Q5,,,
Q7,0.254,0.464,0.151,0.107,,,,,Q7,0.39,,,,Q6,,,
Q8,0.132,0.212,-0.154,0.494,,,,,Q8,0.535,,,,Q7,0.39,,
Q9,-0.102,0.175,0.206,0.202,0.234,,,,Q9,,,,,Q8,,,0.54
Q10,0.24,0.16,-0.24,,,,,,Q10,,,,,Q9,,,
Q11,-0.156,0.144,-0.226,0.233,,,,,Q11,-0.366,,,,Q10,,,
Q12,0.124,0.254,0.294,-0.107,,,,,Q12,0.393,,,,Q11,,,-0.37
Q13,0.253,0.12,0.109,0.359,-0.101,,,,Q13,0.554,,,,Q12,0.39,,
Q14,0.348,-0.156,-0.124,-0.108,0.346,,,,Q14,,,,,Q13,0.55,,
Q15,0.216,-0.225,0.327,0.118,0.192,,,,Q15,0.333,,,,Q14,,,
Q16,0.671,,,,,,,,Q16,0.645,,,,Q15,,0.33,
Q17,0.142,-0.378,-0.113,,,,,,Q17,,,,,Q16,,0.65,
Q18,0.272,-0.293,,,,,,,Q18,,,,,Q17,,,
Q19,-0.204,-0.219,0.281,0.187,,,,,Q19,,,,,Q18,,,
Q20,0.22,0.13,-0.215,-0.382,,,,,Q20,,,,,Q19,,,
Q21,0.681,0.135,,,,,,,Q21,0.56,,,,Q20,,,
Q22,0.742,,,,,,,,Q22,,,,,Q21,,0.56,
,,,,,,,,,,,,,,Q22,,,
