n,mean,sd,min,max
90,1,0,1,1
90,17.336165,13.338657844756428,0.28025,62.28418333333333
90,5.3,1.2671298187352746,1,7
90,5.1,1.4614906965765382,1,7
90,45.5,26.124700955226263,1,90
90,7.7444444444444445,2.1544889699411325,1,12
90,0.5888888888888889,0.4947918514685245,0,1
90,0.7888888888888889,0.4103833353069152,0,1
90,0.6444444444444445,0.4813630252184319,0,1
90,0.6222222222222222,0.4875478144866784,0,1
90,0.7666666666666667,0.4253220854887439,0,1
90,0.7444444444444445,0.43861659721311447,0,1
90,0.9555555555555556,0.20723493215097805,0,1
90,0.6888888888888889,0.4655417152513843,0,1
90,0.2777777777777778,0.4504124895432844,0,1
90,0.4666666666666667,0.5016825622427263,0,1
90,0.5111111111111111,0.5026769786045272,0,1
90,0.6888888888888889,0.4655417152513843,0,1
90,0.10307401156551042,1.074664017376709,-3.084029034787912,2.076497636968754
90,17.419282222222222,8.66603431770037,7.127383333333333,53.75383333333333
90,0.019525071679182087,0.785993485842051,-1.3585270426601423,1.765907444205073
